央视高清,#genre#
CETV-4,http://111.63.117.13:6060/030000001000/G_CETV-4/G_CETV-4.m3u8
CCTV4K超高清,https://p.ggiptv.com/v/4k.m3u8?$全网蓝光4K
CCTV4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8?$全网蓝光1080P
江苏,#genre#
江苏[1920*1080],http://39.135.32.24:6610/000000001000/1000000001000004684/1.m3u8?xtkg?zjiangsd
无锡新闻综合[1280*720],http://m.m3u8.wifiwx.com/live/wifiwx-239.m3u8?zjiangsd
无锡新闻综合[1280*720],http://stream.thmz.com/wxtv1/sd/live.m3u8?zjiangsd
无锡娱乐[1280*720],http://m.m3u8.wifiwx.com/live/wifiwx-243.m3u8?zjiangsd
无锡娱乐[1280*720],http://stream.thmz.com/wxtv2/sd/live.m3u8?zjiangsd
无锡都市资讯[1280*720],http://m.m3u8.wifiwx.com/live/wifiwx-240.m3u8?zjiangsd
无锡都市资讯[1280*720],http://stream.thmz.com/wxtv3/sd/live.m3u8?zjiangsd
无锡生活[1280*720],http://m.m3u8.wifiwx.com/live/wifiwx-244.m3u8?zjiangsd
无锡生活[1280*720],http://stream.thmz.com/wxtv4/sd/live.m3u8?zjiangsd
无锡经济[1280*720],http://m.m3u8.wifiwx.com/live/wifiwx-245.m3u8?zjiangsd
无锡经济[1280*720],http://stream.thmz.com/wxtv5/sd/live.m3u8?zjiangsd
泰州新闻综合[859*480],http://117.148.179.157/PLTV/88888888/224/3221231369/index.m3u8?zjiangsd
泰州新闻综合[1920*1080],rtmp://live.mytaizhou.net:9935/live/xwzh_sd?zjiangsd
泰州经济生活[1920*1080],rtmp://live.mytaizhou.net:9935/live/jjsh_sd?zjiangsd
泰州影院娱乐[1920*1080],rtmp://live.mytaizhou.net:9935/live/ysyl_sd?zjiangsd
姜堰新闻综合[1280*720],https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8?zjiangsd
泰州新闻综合[859*480],http://117.148.179.157/PLTV/88888888/224/3221231369/index.m3u8?zjiangsd
泰州新闻综合[1920*1080],rtmp://live.mytaizhou.net:9935/live/xwzh_sd?zjiangsd
泰州经济生活[1920*1080],rtmp://live.mytaizhou.net:9935/live/jjsh_sd?zjiangsd
泰州影院娱乐[1920*1080],rtmp://live.mytaizhou.net:9935/live/ysyl_sd?zjiangsd
优漫卡通[785*576],http://39.134.65.130/PLTV/88888888/224/3221225556/1.m3u8?zjiangsd
优漫卡通[1047*576],http://39.135.138.58:18890/PLTV/88888888/224/3221225665/index.m3u8?zjiangsd
优漫卡通[1047*576],http://39.135.138.58:18890/ysten-businessmobile/live/youmankaton/1.m3u8?zjiangsd
优漫卡通[785*576],http://39.134.65.132/PLTV/88888888/224/3221225556/1.m3u8?zjiangsd
优漫卡通[859*480],http://117.148.179.157/PLTV/88888888/224/3221231574/index.m3u8?zjiangsd
优漫卡通[1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225795/1.m3u8?zjiangsd
优漫卡通[1047*576],http://111.63.117.13:6060/030000001000/G_YOUMAN/G_YOUMAN.m3u8?zjiangsd
江苏靓妆[768*576],http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225509/2/index.m3u8?fmt=ts2hls?zjiangsd
卫视,#genre#
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8?zweimd
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
江苏卫视,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8?zweimd
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8?zweimd
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/360p.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8?zweimd
东方卫视,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8
东方卫视,http://111.40.196.31/PLTV/88888888/224/3221225509/index.m3u8?zweimd
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://111.40.196.25/PLTV/88888888/224/3221225540/index.m3u8?zweimd
北京卫视,http://111.40.196.32/PLTV/88888888/224/3221225527/index.m3u8?zweimd
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8?zweimd
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
安徽卫视,http://117.148.179.177/PLTV/88888888/224/3221230215/index.m3u8
安徽卫视,http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8?zweimd
湖南卫视,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://111.40.196.30/PLTV/88888888/224/3221225554/index.m3u8?zweimd
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221225506/index.m3u8
深圳卫视,http://39.135.138.58:18890/PLTV/88888910/224/3221225741/index.m3u8?zweimd
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
深圳卫视,http://111.40.196.25/PLTV/88888888/224/3221225537/index.m3u8?zweimd
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225697/index.m3u8
